gemeente_id,Provinciecode,Provincienaam,Gemeentenaam,BevAant,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020
758,30,Noord-Brabant,Breda,183873,0,0,0,0,0,0,0,0,2,2,16,19,27,32,42.0,53.0,64.0,71.0,86.0,96,105,113
501,28,Zuid-Holland,Brielle,17182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
1876,25,Gelderland,Bronckhorst,36212,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,3
213,25,Gelderland,Brummen,20698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
899,31,Limburg,Brunssum,28103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,4,4
312,26,Utrecht,Bunnik,15192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
313,26,Utrecht,Bunschoten,21576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
214,25,Gelderland,Buren,26568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,2.0,4.0,4,4,5
502,28,Zuid-Holland,Capelle aan den IJssel,66818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,2
383,27,Noord-Holland,Castricum,35772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,5.0,5.0,5,5,6
109,22,Drenthe,Coevorden,35483,0,0,0,1,1,2,2,3,3,3,7,9,11,11,11.0,11.0,11.0,11.0,11.0,11,12,12
1706,30,Noord-Brabant,Cranendonck,20440,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,2.0,2.0,2.0,5,6,6
1684,30,Noord-Brabant,Cuijk,24931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,2.0,2.0,2.0,2.0,2,2,4
216,25,Gelderland,Culemborg,28555,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,2.0,2.0,2.0,2.0,4,4,4
148,23,Overijssel,Dalfsen,28499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,1,1
1891,21,Friesland,Dantumadiel,18923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
310,26,Utrecht,De Bilt,42824,0,0,0,0,0,0,0,2,3,6,6,6,6,10,11.0,11.0,11.0,12.0,13.0,15,16,16
1940,21,Friesland,De Fryske Marren,51430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,3.0,3.0,3,5,5
736,26,Utrecht,De Ronde Venen,44059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2,2,2
1690,22,Drenthe,De Wolden,24110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1,1,1
503,28,Zuid-Holland,Delft,103163,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,2.0,2.0,2.0,2,4,5
10,20,Groningen,Delfzijl,24716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
400,27,Noord-Holland,Den Helder,55604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1,1,2
762,30,Noord-Brabant,Deurne,32362,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3.0,3.0,3.0,4.0,5.0,8,8,10
150,23,Overijssel,Deventer,99957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,4,5,5
384,27,Noord-Holland,Diemen,29196,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,2
1774,23,Overijssel,Dinkelland,26350,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1.0,3.0,4.0,4.0,5.0,5,6,8
221,25,Gelderland,Doesburg,11148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,1,1
